Spotify ID;Artist IDs;Track Name;Album Name;Artist Name;Release Date;Duration (ms);Popularity;Date;Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
0TBylB8tjwqp4YHSrwRJQQ;5eioJDe26lOqkAMbuhzZYs;Späti;Grosse Freiheit;Gzuz;2022-01-13;152771;63;2023;deep german hip hop,german hip hop,hamburg hip hop;813;659;1;-6.093;1;186;311;0.00355;165;482;140.064;4
41ZYUGtRGAi3SEx23AZXfB;1aS5tqEs9ci5P9KD9tZWa6,0Dvx6p8JDyzeOPGmaCIH1L;Sommer;Palmen aus Plastik 3;Bonez MC,RAF Camora;2022-09-08;193749;62;2023;german hip hop,hamburg hip hop;818;643;6;-7.841;0;0.0717;706;0.14;0.0957;385;106.011;4
0v4BTk3Vlhmfduww4WFOwA;3jPN2U65cMPzvozEBue5zp,7KcIok6StqYSedgtjmtsqP;ADRENALINA;ADRENALINA;SIDARTA,Beyond;2022-08-11;219661;59;2023;greek trap;643;826;7;-6.215;1;0.0929;31;0.000503;199;346;117.871;4
0K2nzvf5Pn6IO0Xyt36iNi;1oR56GSDAFgtdKmSl6qU1r;Özür;Özür;Halodayı;2023-01-27;135416;73;2023;turkish hip hop;0.71;0.52;7;-9.2;0;137;423;0.0000938;236;538;143.953;4
53HqOfi7OfHRXzcWTdGJB3;4Xi6LSfFqv26XgP9NKN26U;Little More Love;Flu Game;AJ Tracey;2021-04-16;160000;64;2023;grime,uk hip hop,ukg revival;719;762;6;-6.623;1;114;199;0.00000989;358;676;100.08;4
0QpE5aWc2gq705lQjjKQoh;15AZJFNrXtIN4Nk8BIOnS2;RaTaTa;RaTaTa;Batuflex;2023-08-11;123946;61;2023;turkish hip hop,turkish trap;821;753;8;-9.392;0;0.0827;0.0963;0.0069;0.0881;805;131.967;4
2zlwmziboQjXWbHMBEUp1g;6eqLAUIm0u7CgcbjX9O5fb;Money Come;Money Come;MRG;2022-04-20;120868;49;2023;American drill;729;0.68;6;-6.53;0;151;169;0;138;385;142.864;4
0nHmrbUG2lvhiJ7dL4FfzU;3drqpTL4sQOckmAfF9i1wg,6QJo3m62pMHNWqSwgwt2qz,6LnJKrtFnTEGdbWQ2riWCL;KONTAK (feat. Ezhel);KONTAK (feat. Ezhel);Summer Cem,Geenaro & Ghana Beats,Ezhel;2023-06-02;158023;70;2023;german hip hop,turkish hip hop,turkish trap;882;536;6;-10.765;0;0.0888;269;0.00262;0.0837;832;100.001;4
1ftln1emQR93Oyw0pJqN2i;0Dvx6p8JDyzeOPGmaCIH1L,3CJKkU0XuElRT1z8rEtIYg;2CB;Zukunft 1 & 2;RAF Camora,Luciano;2021-10-01;172288;64;2023;german hip hop,german drill;0.82;725;10;-6.449;0;208;456;457;114;364;125.049;4
06jkPNRnI3Awqc7Q6I3To7;6niasBrBbbzrUe7iWT6swJ,1VXE1xqGNlT9HG6TcjpQ9I;Riot;Riot;Open Till L8,Hooligan Hefs;2021-04-23;152097;56;2023;australian electropop,aussie drill,australian trap;854;846;3;-3.762;0;0.0725;0.35;0;0.0996;835;143.02;4
2wGSgTmgSF3xjRrHkTc25R;0NbfKEOTQCcwd6o7wSDOHI,3q7HBObVc0L8jNeTe5Gofh;Hate It Or Love It;The Documentary;The Game,50 Cent;2005-01-01;206400;85;2023;detroit hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,east coast hip hop,queens hip hop;802;785;9;-4.781;1;207;0.14;0;123;435;99.998;4
4ErYSDudluKpIkvBHz7agj;798ceFTnKCNT00aTswubPI;şarapnel;şarapnel;Dante;2022-04-07;171619;4;2023;turkish trap;803;0.69;4;-8.551;0;0.0562;0.0354;0;0.2;651;114.995;4
08mqF80M4AvAF0pGbR2ETA;4PUr4W5mWlzMkyVpSiX2ZN,0Dvx6p8JDyzeOPGmaCIH1L;Mood - RAF Camora Remix;Mood (RAF Camora Remix);Makar,RAF Camora;2022-10-07;147360;60;2023;belgian hip hop,german hip hop;687;564;1;-9.881;1;105;0.56;0.0408;182;564;125.017;4
0etFe0FQMQMAvROnJr0SOy;1U0pXcl8GZlZ48jTgnpGHl;Kein Morgen;get numb with me;Beyazz;2022-07-29;157484;49;2023;german hip hop;649;689;11;-6.769;0;0.0522;0.0433;203;0.11;439;162.949;4
7Ikg74SQrxu5DMpEEbestg;6sBSLIunx1Je0Y2T77wpkP;HANIMEFENDİ;ROMANTİK;Motive;2023-06-16;135459;70;2023;turkish hip hop,turkish trap;673;403;11;-12.796;1;0.0897;357;0.0308;135;479;86.558;5
4I2jzj5QIk4q0XWs1QcTnq;6LnJKrtFnTEGdbWQ2riWCL,3drqpTL4sQOckmAfF9i1wg;Taştan;Taştan;Ezhel,Summer Cem;2023-07-06;176927;48;2023;turkish hip hop,turkish trap,german hip hop;913;441;10;-10.05;0;159;818;0.0152;108;452;110.004;4
